Fast & Furious,6.8,361850,tt0232500
2 Fast 2 Furious,5.9,259833,tt0322259
The Fast and the Furious: Tokyo Drift,6.0,252333,tt0463985
Fast & Furious 4,6.6,271895,tt1013752
Fast Five,7.3,361944,tt1596343
Fast & Furious 6: The Game,7.0,376981,tt4106374
Furious 7,7.1,369555,tt2820852
Fast & Furious Presents: Hobbs & Shaw,6.4,183751,tt6806448
The Fate of the Furious,6.6,214314,tt4630562

